mapping_id, reg_id, stmt_id, task_id, topic_score,core_score, aux_score,final_score
mid_3146, Eudralex2007_7.42, Eudralex2007_7.42_1, PurchasingTask104, 0.70494, 0.5, 0.0, 0.70494
mid_3147, Eudralex2007_7.42, Eudralex2007_7.42_1, CleaningTask_202, 0.6315, 0.37971, 0.0, 0.6315
mid_3148, Eudralex2007_7.42, Eudralex2007_7.42_1, MarkingTask_303, 0.69055, 0.81896, 0.0, 0.81896
mid_3149, Eudralex2007_7.42, Eudralex2007_7.42_1, IncidentRecordingTask403, 0.73668, 0.4028, 0.0, 0.73668
mid_3150, Eudralex2007_7.42, Eudralex2007_7.42_1, MarkingTask_201, 0.77775, 0.81896, 0.0, 0.81896
mid_3151, Eudralex2007_7.42, Eudralex2007_7.42_1, IncidentRecordingTask402, 0.73668, 0.4028, 0.0, 0.73668
mid_3152, Eudralex2007_7.42, Eudralex2007_7.42_1, StoringTask103, 1.0, 1.0, 0.0, 1.0
mid_3153, Eudralex2007_7.42, Eudralex2007_7.42_1, STask301, 0.69363, 0.69363, 0.0, 0.69363
mid_3154, Eudralex2007_7.42, Eudralex2007_7.42_1, T101CleaningTask, 0.61594, 0.37971, 0.0, 0.61594
mid_3155, Eudralex2007_7.42, Eudralex2007_7.42_1, STask302, 0.69363, 0.69363, 0.0, 0.69363
mid_3156, Eudralex2007_7.42, Eudralex2007_7.42_1, ProtectingTask203, 0.69055, 0.5, 0.0, 0.69055
mid_3157, Eudralex2007_7.42, Eudralex2007_7.42_1, DisposingTask203, 0.30391, 0.19363, 0.0, 0.30391
mid_3158, Eudralex2007_7.42, Eudralex2007_7.42_1, ComplaintRecordingTask201, 0.67197, 0.4028, 0.0, 0.67197
mid_3159, Eudralex2007_7.42, Eudralex2007_7.42_1, ComplaintRecordingTask202, 0.67197, 0.4028, 0.0, 0.67197
mid_3160, Eudralex2007_7.42, Eudralex2007_7.42_1, AspirinTabletMarkTask103, 0.69055, 0.81896, 0.0, 0.81896
mid_3161, Eudralex2007_7.42, Eudralex2007_7.42_1, PurchasingTask103, 0.20494, 0.5, 0.0, 0.5
mid_3162, Eudralex2007_7.42, Eudralex2007_7.42_1, ResultRecordingTask302, 0.73668, 0.63818, 0.0, 0.73668
mid_3163, Eudralex2007_7.42, Eudralex2007_7.42_1, ProtectingTask201, 0.69055, 0.5, 0.0, 0.69055
mid_3164, Eudralex2007_7.42, Eudralex2007_7.42_1, T102CleaningTask, 0.61976, 0.37971, 0.0, 0.61976
mid_3165, Eudralex2007_7.42, Eudralex2007_7.42_1, CleaningTask_203, 0.61594, 0.37971, 0.0, 0.61594
mid_3166, Eudralex2007_7.42, Eudralex2007_7.42_1, DataRecordingTask503, 0.73668, 0.4028, 0.0, 0.73668
mid_3167, Eudralex2007_7.42, Eudralex2007_7.42_1, S202Task, 0.87971, 0.87971, 0.0, 0.87971
mid_3168, Eudralex2007_7.42, Eudralex2007_7.42_1, TankCleaningTask103, 0.61976, 0.37971, 0.0, 0.61976
mid_3169, Eudralex2007_7.42, Eudralex2007_7.42_1, InvestigatingTask_303, 0.4721, 0.1569, 0.0, 0.4721
mid_3170, Eudralex2007_7.42, Eudralex2007_7.42_1, InvestigatingTask_101, 0.46714, 0.07117, 0.0, 0.46714
mid_3171, Eudralex2007_7.42, Eudralex2007_7.42_1, InvestigatingTask_102, 0.26115, 0.07117, 0.0, 0.26115
mid_3172, Eudralex2007_7.42, Eudralex2007_7.42_1, InvestigatingTask_203, 0.46714, 0.0, 0.0, 0.46714
mid_3173, Eudralex2007_7.42, Eudralex2007_7.42_1, InvestigatingTask_104, 0.26115, 0.07117, 0.0, 0.26115
